#ItemCode,ItemName,Price,TaxPrice,MasterPrice
8172,金??糜,0,0,0
8173,金??糜配?庵??卜,0,0,0
8175,?曲?味白腹??田炸 握寿司,0,0,0
8176,??子,0,0,0
8178,照??肉配蛋黄?,0,0,0
8180,?豆??卷,0,0,0
8181,蟹黄,0,0,0
8182,甜???卷,0,0,0
8183,沙拉??卷,0,0,0
8184,玉米,0,0,0
8185,??&秋葵&裙?菜根&?豆??卷,0,0,0
8186,甜?&蛋黄???卷,0,0,0
8190,河童黄瓜卷,0,0,0
8191,?火卷,0,0,0
8193,?豆卷,0,0,0
8194,??子??卷,0,0,0
8197,茶碗蒸,0,0,0
8200,毛豆,0,0,0
8208,石?味噌?（???）,0,0,0
8210,?????,0,0,0
8211,葱香金??糜卷,0,0,0
8212,甜豆腐皮?冬面,0,0,0
8213,??天???冬面,0,0,0
