#ItemCode,ItemName,Price,TaxPrice,MasterPrice
6724,1貫)まぐろ焦がし醤油,69,75,75
6728,ハンバーグにぎりｹﾁｬｯﾌﾟ,191,210,210
6729,とろ～りはちみつ,28,30,30
6740,いなり,100,110,110
6746,ﾌﾗｲﾄﾞﾎﾟﾃﾄ ｹﾁｬｯﾌﾟ,300,330,330
6747,1貫)玄天 天然あじ生姜,100,110,110
6755,感動コーンかっぱ軍艦,100,110,110
6757,1貫)天然やりいか,50,55,55
6760,茶碗蒸し,237,260,260
6773,あおさの赤だし,237,260,260
6795,きつねうどん,355,390,390
6796,えび天うどん,355,390,390
6811,1貫)ローストビーフ,119,130,130
6838,ごぼう唐揚げ 柚子胡椒,237,260,260
6842,卵黄納豆軍艦,100,110,110
6869,小袋 柚子胡椒,28,30,30
6932,TOしんかんせんﾌﾟﾚｰﾄ,1810,1990,1990
6952,ちょこっとアスパラ天盛り,210,230,230
6953,冷やし茶碗蒸し,237,260,260
6959,いくら贅沢冷やし茶碗蒸し,391,430,430
6968,鯛ｽｰﾌﾟと米粉入りフォー,391,430,430
6975,グレープ果汁100％,173,190,190
6976,アップル果汁100％,173,190,190
6996,ストロベリーアイス,146,160,160
6998,まぐろ出汁ﾗｰﾒﾝと水餃子,691,760,760
7000,Ｌコカ・コーラ,237,260,260
7001,Ｌメロンソーダ,237,260,260
7002,Ｌカルピス,237,260,260
7003,Ｌカルピスソーダ,237,260,260
7004,Ｌ烏龍茶,237,260,260
7005,Ｌコカ・コーラゼロ,237,260,260
7006,Ｌ爽健美茶,237,260,260
7007,Ｌジンジャーエール,237,260,260
7018,ドリンクバー,264,290,290
7022,ベイクドチーズケーキ,300,330,330
7023,チョコレートケーキ,300,330,330
7024,プレミアムプリン,328,360,360
7025,プレミアムホイッププリン,328,360,360
7026,▼▼▼まぐろマウンテン,355,390,390
7027,▼▼▼海鮮たたきﾏｳﾝﾃﾝ,355,390,390
7030,1貫)釜揚げしらす包み,100,110,110
7031,1貫)大えび天包み,119,130,130
7032,1貫)マヨ大えび天包み,119,130,130
7065,あんかけ茶碗蒸し,237,260,260
7075,1貫)えんがわ二枚重ね,178,195,195
7076,1貫)ﾊｰﾌ炙り上煮穴子,178,195,195
7079,ﾉﾝｱﾙｶｼｽｵﾚﾝｼﾞﾃｲｽﾄ,446,490,490
7080,ﾉﾝｱﾙ ﾚﾓﾝｻﾜｰﾃｲｽﾄ,446,490,490
7085,1貫)塩炙りとろサーモン,114,125,125
7094,1貫)活〆ふわとろ煮穴子,173,190,190
7099,1貫)特盛いくら軍艦,178,195,195
7101,1貫)生えび,96,105,105
7108,1貫)とろサーモン,96,105,105
7109,いちご練乳の杏仁豆腐,328,360,360
7116,1貫)つぶ貝,105,115,115
7117,1貫)赤貝,105,115,115
7118,1貫)牛カルビ炙り,105,115,115
7119,1貫)えんがわ,96,105,105
7120,1貫)いくら,105,115,115
7122,1貫)肉厚ﾄﾛ〆さばの押寿司,105,115,115
7127,1貫)サラダ納豆,50,55,55
7137,シードル（SWEET),537,590,590
7138,シードル（DRY),537,590,590
7188,卵黄とろろ軍艦,119,130,130
7284,天つゆ,0,0,0
7285,からし（小袋）,0,0,0
7288,わさび,0,0,0
7329,あかいかゲソ（大葉）,100,110,110
7336,とろろ牛しぐれ煮軍艦,119,130,130
7355,1貫)とろろ牛しぐれ煮軍艦,60,65,65
7368,1貫)石垣貝,119,130,130
7388,サラたく軍艦,100,110,110
7416,1貫)あかいかゲソ(大葉),50,55,55
7469,かけうどん(平日限定）,173,190,190
7490,1貫)サラたく軍艦,50,55,55
7498,Qooもも,237,260,260
7579,まぐろ二種盛り,100,110,110
7742,本気シャリ（３貫）,100,110,110
7767,サーモン(ｼｬﾘﾊｰﾌ),100,110,110
7768,えび(ｼｬﾘﾊｰﾌ),100,110,110
7769,いか(ｼｬﾘﾊｰﾌ),100,110,110
7770,煮穴子(ｼｬﾘﾊｰﾌ),173,190,190
7771,玉子(ｼｬﾘﾊｰﾌ),100,110,110
7772,まぐろ(ｼｬﾘﾊｰﾌ),100,110,110
7773,びん長まぐろ(ｼｬﾘﾊｰﾌ),100,110,110
7774,鮪・ｻｰﾓﾝ二種(ｼｬﾘﾊｰﾌ),100,110,110
7775,はまち・ｻｰﾓﾝ二種ｼｬﾘﾊｰﾌ,150,165,165
7776,はまち・いか二種(ｼｬﾘﾊｰﾌ),150,165,165
7777,はまち・えび二種(ｼｬﾘﾊｰﾌ),150,165,165
7778,はまちえんがわ二種ｼｬﾘﾊｰﾌ,196,215,215
7779,▼▼はまち(ｼｬﾘﾊｰﾌ),191,210,210
7780,1貫)つぶ貝(ｼｬﾘﾊｰﾌ),105,115,115
7783,1貫)赤貝(ｼｬﾘﾊｰﾌ),105,115,115
